,date,continent,location,male_smokers
450,2020Q2,Oceania,Nauru,3357.9
451,2020Q2,Oceania,New Caledonia,0.0
452,2020Q2,Oceania,New Zealand,1565.2
453,2020Q2,Oceania,Niue,0.0
454,2020Q2,Oceania,Northern Mariana Islands,0.0
455,2020Q2,Oceania,Palau,2065.7
456,2020Q2,Oceania,Papua New Guinea,4440.8
457,2020Q2,Oceania,Pitcairn,0.0
458,2020Q2,Oceania,Samoa,3467.1
459,2020Q2,Oceania,Solomon Islands,0.0
460,2020Q2,Oceania,Tokelau,0.0
461,2020Q2,Oceania,Tonga,4040.4
462,2020Q2,Oceania,Tuvalu,0.0
463,2020Q2,Oceania,Vanuatu,3139.5
464,2020Q2,Oceania,Wallis and Futuna,0.0
465,2020Q2,South America,Argentina,2520.7
466,2020Q2,South America,Bolivia,0.0
467,2020Q2,South America,Brazil,1628.8999999999999
468,2020Q2,South America,Chile,3776.5
469,2020Q2,South America,Colombia,1228.5
470,2020Q2,South America,Ecuador,1119.3
471,2020Q2,South America,Falkland Islands,0.0
472,2020Q2,South America,French Guiana,0.0
473,2020Q2,South America,Guyana,0.0
474,2020Q2,South America,Paraguay,1965.6000000000001
475,2020Q2,South America,Peru,0.0
476,2020Q2,South America,Suriname,3903.9
477,2020Q2,South America,Uruguay,1810.8999999999999
478,2020Q2,South America,Venezuela,0.0
479,2020Q3,Africa,Algeria,2796.7999999999997
480,2020Q3,Africa,Angola,0.0
481,2020Q3,Africa,Benin,1131.6000000000001
482,2020Q3,Africa,Botswana,3164.7999999999997
483,2020Q3,Africa,Burkina Faso,2198.7999999999997
484,2020Q3,Africa,Burundi,0.0
485,2020Q3,Africa,Cameroon,0.0
486,2020Q3,Africa,Cape Verde,1518.0
487,2020Q3,Africa,Central African Republic,0.0
488,2020Q3,Africa,Chad,0.0
489,2020Q3,Africa,Comoros,2171.2000000000003
490,2020Q3,Africa,Congo,4811.599999999999
491,2020Q3,Africa,Cote d'Ivoire,0.0
492,2020Q3,Africa,Democratic Republic of Congo,0.0
493,2020Q3,Africa,Djibouti,2254.0
