,date,continent,location,life_expectancy
573,2020Q3,Asia,Sri Lanka,7082.160000000001
574,2020Q3,Asia,Syria,6688.400000000001
575,2020Q3,Asia,Taiwan,7402.32
576,2020Q3,Asia,Tajikistan,6541.2
577,2020Q3,Asia,Thailand,7097.8
578,2020Q3,Asia,Timor,6394.0
579,2020Q3,Asia,Turkey,7147.48
580,2020Q3,Asia,Turkmenistan,6273.48
581,2020Q3,Asia,United Arab Emirates,7173.24
582,2020Q3,Asia,Uzbekistan,6598.24
583,2020Q3,Asia,Vietnam,6936.8
584,2020Q3,Asia,Yemen,6083.040000000001
585,2020Q3,Europe,Albania,7228.44
586,2020Q3,Europe,Andorra,7703.160000000001
