,date,continent,location,diabetes_prevalence
451,2020Q2,Oceania,New Caledonia,2125.7599999999998
452,2020Q2,Oceania,New Zealand,735.28
453,2020Q2,Oceania,Niue,0.0
454,2020Q2,Oceania,Northern Mariana Islands,0.0
455,2020Q2,Oceania,Palau,1445.99
456,2020Q2,Oceania,Papua New Guinea,1606.1499999999999
457,2020Q2,Oceania,Pitcairn,0.0
458,2020Q2,Oceania,Samoa,838.1100000000001
459,2020Q2,Oceania,Solomon Islands,1699.8799999999999
460,2020Q2,Oceania,Tokelau,0.0
461,2020Q2,Oceania,Tonga,1403.22
462,2020Q2,Oceania,Tuvalu,2479.75
463,2020Q2,Oceania,Vanuatu,1093.82
464,2020Q2,Oceania,Wallis and Futuna,0.0
465,2020Q2,South America,Argentina,500.5
466,2020Q2,South America,Bolivia,626.99
467,2020Q2,South America,Brazil,738.01
468,2020Q2,South America,Chile,769.8600000000001
469,2020Q2,South America,Colombia,677.0400000000001
470,2020Q2,South America,Ecuador,505.05
471,2020Q2,South America,Falkland Islands,0.0
472,2020Q2,South America,French Guiana,0.0
473,2020Q2,South America,Guyana,1057.4199999999998
474,2020Q2,South America,Paraguay,752.5699999999999
475,2020Q2,South America,Peru,541.45
476,2020Q2,South America,Suriname,1141.1399999999999
477,2020Q2,South America,Uruguay,630.63
478,2020Q2,South America,Venezuela,588.77
479,2020Q3,Africa,Algeria,619.1600000000001
480,2020Q3,Africa,Angola,362.48
481,2020Q3,Africa,Benin,91.08
482,2020Q3,Africa,Botswana,442.52
483,2020Q3,Africa,Burkina Faso,222.64
484,2020Q3,Africa,Burundi,556.6
485,2020Q3,Africa,Cameroon,662.4
486,2020Q3,Africa,Cape Verde,222.64
487,2020Q3,Africa,Central African Republic,561.1999999999999
488,2020Q3,Africa,Chad,561.1999999999999
489,2020Q3,Africa,Comoros,1092.96
490,2020Q3,Africa,Congo,662.4
491,2020Q3,Africa,Cote d'Ivoire,222.64
492,2020Q3,Africa,Democratic Republic of Congo,561.1999999999999
493,2020Q3,Africa,Djibouti,556.6
494,2020Q3,Africa,Egypt,1592.52
495,2020Q3,Africa,Equatorial Guinea,715.76
496,2020Q3,Africa,Eritrea,556.6
497,2020Q3,Africa,Eswatini,362.48
498,2020Q3,Africa,Ethiopia,687.24
499,2020Q3,Africa,Gabon,662.4
500,2020Q3,Africa,Gambia,175.72
501,2020Q3,Africa,Ghana,457.23999999999995
502,2020Q3,Africa,Guinea,222.64
503,2020Q3,Africa,Guinea-Bissau,222.64
504,2020Q3,Africa,Kenya,268.64
505,2020Q3,Africa,Lesotho,362.48
506,2020Q3,Africa,Liberia,222.64
