,date,continent,location,gdp_per_capita
523,2020Q3,Africa,Senegal,227293.36
524,2020Q3,Africa,Seychelles,2427170.404
525,2020Q3,Africa,Sierra Leone,127907.59999999999
526,2020Q3,Africa,Somalia,0.0
527,2020Q3,Africa,South Africa,1131128.592
528,2020Q3,Africa,South Sudan,144429.696
529,2020Q3,Africa,Sudan,410918.644
530,2020Q3,Africa,Tanzania,246863.968
531,2020Q3,Africa,Togo,131542.796
532,2020Q3,Africa,Tunisia,998135.324
533,2020Q3,Africa,Uganda,156189.04400000002
534,2020Q3,Africa,Zambia,339411.092
535,2020Q3,Africa,Zimbabwe,174779.30000000002
536,2020Q3,Asia,Afghanistan,165966.804
537,2020Q3,Asia,Armenia,808457.36
538,2020Q3,Asia,Azerbaijan,1457962.548
539,2020Q3,Asia,Bahrain,3982744.8600000003
540,2020Q3,Asia,Bangladesh,324206.528
541,2020Q3,Asia,Bhutan,801190.924
542,2020Q3,Asia,Brunei,6606451.092
543,2020Q3,Asia,Cambodia,335346.44
544,2020Q3,Asia,China,1408401.504
545,2020Q3,Asia,Georgia,896547.2679999999
546,2020Q3,Asia,Hong Kong,5157052.64
547,2020Q3,Asia,India,591254.008
548,2020Q3,Asia,Indonesia,1029364.4480000001
549,2020Q3,Asia,Iran,1755601.0399999998
550,2020Q3,Asia,Iraq,1441086.712
551,2020Q3,Asia,Israel,3048173.44
552,2020Q3,Asia,Japan,3588204.516
553,2020Q3,Asia,Jordan,767049.08
554,2020Q3,Asia,Kazakhstan,2213114.096
555,2020Q3,Asia,Kuwait,6028809.404
556,2020Q3,Asia,Kyrgyzstan,312199.608
557,2020Q3,Asia,Laos,588557.12
558,2020Q3,Asia,Lebanon,1229815.98
559,2020Q3,Asia,Malaysia,2466351.088
560,2020Q3,Asia,Maldives,1396892.672
561,2020Q3,Asia,Mongolia,1089357.832
562,2020Q3,Asia,Myanmar,514426.924
563,2020Q3,Asia,Nepal,224737.968
564,2020Q3,Asia,North Korea,0.0
565,2020Q3,Asia,Oman,3492385.228
566,2020Q3,Asia,Pakistan,463193.13599999994
567,2020Q3,Asia,Palestine,409390.61600000004
568,2020Q3,Asia,Philippines,699125.296
569,2020Q3,Asia,Qatar,10758075.200000001
570,2020Q3,Asia,Saudi Arabia,4512177.812
571,2020Q3,Asia,Singapore,7869255.2360000005
572,2020Q3,Asia,South Korea,3306330.4080000003
573,2020Q3,Asia,Sri Lanka,1073555.084
574,2020Q3,Asia,Syria,0.0
575,2020Q3,Asia,Taiwan,0.0
576,2020Q3,Asia,Tajikistan,266515.996
577,2020Q3,Asia,Thailand,1497545.732
578,2020Q3,Asia,Timor,604449.384
579,2020Q3,Asia,Turkey,2311899.372
580,2020Q3,Asia,Turkmenistan,1507790.1160000002
581,2020Q3,Asia,United Arab Emirates,6191000.436
582,2020Q3,Asia,Uzbekistan,575285.568
583,2020Q3,Asia,Vietnam,567813.328
584,2020Q3,Asia,Yemen,136081.524
585,2020Q3,Europe,Albania,1085915.652
