,date,continent,location,total_cases_per_million
425,2020Q2,North America,Mexico,65109.164000000004
426,2020Q2,North America,Montserrat,214140.00900000002
427,2020Q2,North America,Nicaragua,8008.045
428,2020Q2,North America,Panama,231380.07
429,2020Q2,North America,Puerto Rico,35354.070999999996
430,2020Q2,North America,Saint Barthelemy,49663.43199999999
431,2020Q2,North America,Saint Kitts and Nevis,26970.933
432,2020Q2,North America,Saint Lucia,8622.811
433,2020Q2,North America,Saint Martin (French part),107933.125
434,2020Q2,North America,Saint Pierre and Miquelon,14273.616
435,2020Q2,North America,Saint Vincent and the Grenadines,16198.692000000001
436,2020Q2,North America,Sint Maarten (Dutch part),141088.883
437,2020Q2,North America,Trinidad and Tobago,6837.145
438,2020Q2,North America,Turks and Caicos Islands,23312.787
439,2020Q2,North America,United States,376933.13
440,2020Q2,North America,United States Virgin Islands,58152.982
441,2020Q2,Oceania,American Samoa,0.0
442,2020Q2,Oceania,Australia,23878.791
443,2020Q2,Oceania,Cook Islands,0.0
444,2020Q2,Oceania,Fiji,1667.108
445,2020Q2,Oceania,French Polynesia,16944.641
446,2020Q2,Oceania,Guam,82633.327
447,2020Q2,Oceania,Kiribati,0.0
448,2020Q2,Oceania,Marshall Islands,0.0
449,2020Q2,Oceania,Micronesia (country),0.0
450,2020Q2,Oceania,Nauru,0.0
451,2020Q2,Oceania,New Caledonia,5911.196
452,2020Q2,Oceania,New Zealand,19472.209
453,2020Q2,Oceania,Niue,0.0
454,2020Q2,Oceania,Northern Mariana Islands,35865.573
455,2020Q2,Oceania,Palau,0.0
456,2020Q2,Oceania,Papua New Guinea,63.018
457,2020Q2,Oceania,Pitcairn,0.0
458,2020Q2,Oceania,Samoa,0.0
459,2020Q2,Oceania,Solomon Islands,0.0
460,2020Q2,Oceania,Tokelau,0.0
461,2020Q2,Oceania,Tonga,0.0
462,2020Q2,Oceania,Tuvalu,0.0
463,2020Q2,Oceania,Vanuatu,0.0
464,2020Q2,Oceania,Wallis and Futuna,0.0
465,2020Q2,South America,Argentina,41499.111
466,2020Q2,South America,Bolivia,57481.876000000004
467,2020Q2,South America,Brazil,159631.727
468,2020Q2,South America,Chile,371854.933
469,2020Q2,South America,Colombia,41413.77
470,2020Q2,South America,Ecuador,151326.849
471,2020Q2,South America,Falkland Islands,268087.36799999996
472,2020Q2,South America,French Guiana,190551.864
473,2020Q2,South America,Guyana,12570.380000000001
474,2020Q2,South America,Paraguay,9734.479
475,2020Q2,South America,Peru,283085.719
476,2020Q2,South America,Suriname,11426.331
477,2020Q2,South America,Uruguay,18302.579
478,2020Q2,South America,Venezuela,4252.178
479,2020Q3,Africa,Algeria,73047.841
480,2020Q3,Africa,Angola,5229.176
481,2020Q3,Africa,Benin,13287.861
482,2020Q3,Africa,Botswana,47388.897
483,2020Q3,Africa,Burkina Faso,5417.982
484,2020Q3,Africa,Burundi,2773.634
485,2020Q3,Africa,Cameroon,59776.878000000004
486,2020Q3,Africa,Cape Verde,507164.989
487,2020Q3,Africa,Central African Republic,88496.482
488,2020Q3,Africa,Chad,5101.134
489,2020Q3,Africa,Comoros,35989.015
490,2020Q3,Africa,Congo,57104.6
491,2020Q3,Africa,Cote d'Ivoire,53472.114
