,date,continent,location,total_deaths_per_million
489,2020Q3,Africa,Comoros,769.58
490,2020Q3,Africa,Congo,1014.676
491,2020Q3,Africa,Cote d'Ivoire,343.532
492,2020Q3,Africa,Democratic Republic of Congo,387.669
493,2020Q3,Africa,Djibouti,4822.2390000000005
494,2020Q3,Africa,Egypt,4075.372
495,2020Q3,Africa,Equatorial Guinea,3856.932
496,2020Q3,Africa,Eritrea,0.0
497,2020Q3,Africa,Eswatini,4832.4
498,2020Q3,Africa,Ethiopia,428.137
499,2020Q3,Africa,Gabon,1940.154
500,2020Q3,Africa,Gambia,0.0
501,2020Q3,Africa,Ghana,44.96000000000001
502,2020Q3,Africa,Guinea,338.332
503,2020Q3,Africa,Guinea-Bissau,1383.936
504,2020Q3,Africa,Kenya,746.285
505,2020Q3,Africa,Lesotho,1494.48
506,2020Q3,Africa,Liberia,1371.174
507,2020Q3,Africa,Libya,2539.513
508,2020Q3,Africa,Madagascar,435.836
509,2020Q3,Africa,Malawi,579.299
510,2020Q3,Africa,Mali,507.177
511,2020Q3,Africa,Mauritania,5873.545
512,2020Q3,Africa,Mauritius,707.94
513,2020Q3,Africa,Mayotte,10928.722
514,2020Q3,Africa,Morocco,2094.161
515,2020Q3,Africa,Mozambique,60.46
516,2020Q3,Africa,Namibia,1803.259
517,2020Q3,Africa,Niger,325.847
518,2020Q3,Africa,Nigeria,391.188
519,2020Q3,Africa,Reunion,514.342
520,2020Q3,Africa,Rwanda,79.92
521,2020Q3,Africa,Saint Helena,0.0
522,2020Q3,Africa,Sao Tome and Principe,5901.665
523,2020Q3,Africa,Senegal,1206.137
524,2020Q3,Africa,Seychelles,0.0
525,2020Q3,Africa,Sierra Leone,736.379
526,2020Q3,Africa,Somalia,493.825
527,2020Q3,Africa,South Africa,19968.418
528,2020Q3,Africa,South Sudan,403.82
529,2020Q3,Africa,Sudan,1501.454
530,2020Q3,Africa,Tanzania,29.532
531,2020Q3,Africa,Togo,270.413
532,2020Q3,Africa,Tunisia,602.31
533,2020Q3,Africa,Uganda,54.241
534,2020Q3,Africa,Zambia,989.219
535,2020Q3,Africa,Zimbabwe,706.472
536,2020Q3,Asia,Afghanistan,2857.272
537,2020Q3,Asia,Armenia,25798.495
538,2020Q3,Asia,Azerbaijan,4072.088
539,2020Q3,Asia,Bahrain,10406.615
540,2020Q3,Asia,Bangladesh,1961.202
541,2020Q3,Asia,Bhutan,0.0
542,2020Q3,Asia,Brunei,614.652
543,2020Q3,Asia,Cambodia,0.0
544,2020Q3,Asia,China,303.165
545,2020Q3,Asia,Georgia,445.456
546,2020Q3,Asia,Hong Kong,0.0
547,2020Q3,Asia,India,3380.216
548,2020Q3,Asia,Indonesia,2134.623
549,2020Q3,Asia,Iran,19484.926
550,2020Q3,Asia,Iraq,11898.991
551,2020Q3,Asia,Israel,7705.049
552,2020Q3,Asia,Japan,875.168
553,2020Q3,Asia,Jordan,133.186
554,2020Q3,Asia,Kazakhstan,6084.199
555,2020Q3,Asia,Kuwait,10466.434
556,2020Q3,Asia,Kyrgyzstan,0.0
557,2020Q3,Asia,Laos,0.0
558,2020Q3,Asia,Lebanon,2199.924
559,2020Q3,Asia,Malaysia,340.323
560,2020Q3,Asia,Maldives,3980.55
561,2020Q3,Asia,Mongolia,0.0
562,2020Q3,Asia,Myanmar,48.727
563,2020Q3,Asia,Nepal,592.881
564,2020Q3,Asia,North Korea,0.0
565,2020Q3,Asia,Oman,10970.216
566,2020Q3,Asia,Pakistan,2313.079
567,2020Q3,Asia,Palestine,2490.056
568,2020Q3,Asia,Philippines,2300.524
569,2020Q3,Asia,Qatar,6166.3060000000005
570,2020Q3,Asia,Saudi Arabia,8395.903
571,2020Q3,Asia,Singapore,438.188
572,2020Q3,Asia,South Korea,570.5
573,2020Q3,Asia,Sri Lanka,48.882
574,2020Q3,Asia,Syria,341.644
575,2020Q3,Asia,Taiwan,0.0
576,2020Q3,Asia,Tajikistan,590.49
577,2020Q3,Asia,Thailand,74.596
578,2020Q3,Asia,Timor,0.0
579,2020Q3,Asia,Turkey,6662.6630000000005
580,2020Q3,Asia,Turkmenistan,0.0
581,2020Q3,Asia,United Arab Emirates,3558.364
582,2020Q3,Asia,Uzbekistan,0.0
583,2020Q3,Asia,Vietnam,16.772
584,2020Q3,Asia,Yemen,1385.596
585,2020Q3,Europe,Albania,6995.345
586,2020Q3,Europe,Andorra,60531.301
587,2020Q3,Europe,Austria,8164.22
588,2020Q3,Europe,Belarus,5916.437
589,2020Q3,Europe,Belgium,78108.787
590,2020Q3,Europe,Bosnia and Herzegovina,13501.346
591,2020Q3,Europe,Bulgaria,6541.026
592,2020Q3,Europe,Croatia,3899.895
593,2020Q3,Europe,Cyprus,2071.388
594,2020Q3,Europe,Czechia,3698.596
595,2020Q3,Europe,Denmark,9812.414
596,2020Q3,Europe,England,0.0
597,2020Q3,Europe,Estonia,9534.202
598,2020Q3,Europe,Faeroe Islands,0.0
599,2020Q3,Europe,Finland,5187.204
600,2020Q3,Europe,France,28549.813
601,2020Q3,Europe,Germany,10471.122
602,2020Q3,Europe,Gibraltar,0.0
603,2020Q3,Europe,Greece,2174.683
604,2020Q3,Europe,Guernsey,23243.708
605,2020Q3,Europe,Hungary,5735.854
606,2020Q3,Europe,Iceland,2467.164
607,2020Q3,Europe,Ireland,31843.234
608,2020Q3,Europe,Isle of Man,37002.86
609,2020Q3,Europe,Italy,55029.878
610,2020Q3,Europe,Jersey,26138.100000000002
611,2020Q3,Europe,Kosovo,18177.276
612,2020Q3,Europe,Latvia,1625.371
613,2020Q3,Europe,Liechtenstein,2337.72
614,2020Q3,Europe,Lithuania,2218.501
615,2020Q3,Europe,Luxembourg,13116.083999999999
616,2020Q3,Europe,Malta,2126.393
617,2020Q3,Europe,Moldova,25363.639
